Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Greece,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
6842,17914,1629,726.3,160.9,5870,5603,725.3,3542,22311,68437,4210,9836,22129,713,1823,287.4,127.8,23895,10037,2038,1781,3074,3908,2076,11568,7893
7119,19200,1846,794.5,240.5,5666,5641,699.5,3446,22075,75972,4558,9489,26181,739.5,1752,325.9,126.1,24378,10510,2109,1961,3240,4297,2124,13143,8454
8316,20823,2087,858.4,233.5,6380,6861,985.7,4111,25082,86241,4754,13208,31582,932.3,1979,427.3,121.8,29470,11004,2549,2181,3686,4755,2594,14086,10415
7273,17711,1905,893.2,203.3,5782,5687,761.3,3845,23606,75062,4386,10675,28404,856.3,1736,338.5,113.7,27343,10861,2511,2077,3045,4285,2612,13751,8966
8072,20062,2096,1021,327.2,6481,6465,992.7,4239,23920,82188,4793,11698,31529,919.5,1810,379.8,132.7,30974,11880,2869,2909,3465,4834,2994,15726,9797
7997,19429,2354,1125,197.7,6909,6145,923.3,4342,25792,83986,4761,11171,30828,899.3,1811,412.3,114.8,31984,12190,3462,2583,3754,4653,3466,16263,9999
7403,17424,2169,1021,335.4,5775,6110,796.3,4039,24145,77533,4112,8609,32756,880.5,2081,346.2,113.4,29288,10952,3063,2604,3879,4163,3102,14366,8759
7189,18446,2189,975.6,199.6,6426,6011,914.6,4037,22712,81409,4549,10981,23669,987.6,2272,354.9,120,29799,11792,2926,2157,4063,4798,2889,13588,8354
8125,21302,2035,1390,173.6,7292,6721,929,4434,26847,87937,5302,12053,30966,1160,2453,358.9,145.4,33344,12698,2942,2304,4114,4701,3521,14247,9815
8000,21974,2143,1106,341.9,6863,6432,863.9,4341,27808,83457,4696,11189,30735,1037,2412,372.3,224.2,31147,12588,2948,2341,3591,5137,2653,14084,9511
8641,22486,2316,1208,275.8,7510,6879,808.4,5406,26915,89502,4987,10458,33036,1072,2398,409.3,275.6,32462,13380,2894,2481,3844,5172,3162,14982,9971
7258,18469,1817,967.7,522.1,6351,6533,711.4,3989,28411,77423,4526,8962,31758,971.5,2248,371.2,170.3,30234,11368,2795,2040,3484,4150,2711,14075,9522
