country,month,female_unemployment,male_unemployment,total_unemployment
Austria,1,3.9,4.6,4.2
Austria,2,4.4,4.3,4.3
Austria,3,4.1,3.8,4
Austria,4,3.4,3.8,3.6
Austria,5,3.9,4.5,4.2
Austria,6,3.5,3.6,3.5
Austria,7,3.5,4.4,3.9
Austria,8,4.2,4.8,4.6
Austria,9,4.5,4.2,4.4
Austria,10,3.9,4.1,4
Austria,11,3.9,5.7,4.8
Austria,12,4,4.8,4.4
Belgium,1,4.3,4.8,4.6
Belgium,2,4.5,4.5,4.5
Belgium,3,4.6,4.5,4.6
Belgium,4,4.8,4.9,4.8
Belgium,5,4.8,5,4.9
Belgium,6,4.6,4.9,4.8
Belgium,7,4.2,4.6,4.4
Belgium,8,4,4.6,4.30
Belgium,9,4.1,4.6,4.4
Belgium,10,4.5,4.9,4.7
Belgium,11,4.7,5.1,4.9
Belgium,12,4.6,5.2,4.9
Bulgaria,1,4,4.3,4.2
Bulgaria,2,4.2,4.2,4.2
Bulgaria,3,4.2,4.3,4.2
Bulgaria,4,4,4.4,4.2
Bulgaria,5,4,4.4,4.2
Bulgaria,6,3.8,4.3,4.1
Bulgaria,7,3.7,4.1,3.9
Bulgaria,8,3.6,4,3.8
Bulgaria,9,3.6,3.9,3.7
Bulgaria,10,3.5,3.9,3.7
Bulgaria,11,3.6,3.9,3.7
Bulgaria,12,3.7,3.9,3.8
Croatia,1,6.3,5.1,5.6
Croatia,2,6.4,5,5.7
Croatia,3,6.5,5,5.7
Croatia,4,6.5,5.1,5.8
Croatia,5,6.6,5.2,5.8
Croatia,6,6.7,5.2,5.9
Croatia,7,6.8,5.4,6.1
Croatia,8,6.8,5.4,6.1
Croatia,9,6.7,5.4,6
Croatia,10,6.7,5.4,6.1
Croatia,11,6.7,5.4,6
Croatia,12,6.6,5.3,5.9
Cyprus,1,5.7,4.3,5
Cyprus,2,5.9,4.3,5
Cyprus,3,6.3,4.6,5.4
Cyprus,4,6.9,5.2,6
Cyprus,5,6.8,5.2,5.9
Cyprus,6,7.1,5.2,6.1
Cyprus,7,6.8,5.1,5.9
Cyprus,8,6.6,5,5.7
Cyprus,9,6.4,4.9,5.6
Cyprus,10,6.7,4.8,5.7
Cyprus,11,7.4,4.9,6.1
Cyprus,12,7.3,4.9,6.1
Czechia,1,2.7,1.7,2.1
Czechia,2,2.9,1.7,2.2
Czechia,3,2.4,1.7,2
Czechia,4,2.8,1.6,2.1
Czechia,5,3,1.6,2.2
Czechia,6,2.7,1.7,2.2
Czechia,7,2.8,1.6,2.1
Czechia,8,2.7,1.6,2.1
Czechia,9,2.3,1.6,1.9
Czechia,10,2.3,1.7,2
Czechia,11,2.9,1.8,2.3
Czechia,12,2.2,1.7,1.9
Denmark,1,4.4,3.6,4
Denmark,2,3.8,3.4,3.6
Denmark,3,3.1,2.9,3
Denmark,4,3.8,3.3,3.6
Denmark,5,3.9,3.6,3.7
Denmark,6,2.8,3.7,3.3
Denmark,7,3.9,3,3.4
Denmark,8,3.8,2.9,3.3
Denmark,9,2.7,3.3,3
Denmark,10,3.1,3,3
Denmark,11,3.1,4.4,3.8
Denmark,12,3.1,4,3.6
Estonia,1,4.2,5.3,4.8
Estonia,2,4,4.9,4.5
Estonia,3,3.9,5.2,4.6
Estonia,4,3.9,5.6,4.8
Estonia,5,3.6,5.3,4.4
Estonia,6,3.1,5.3,4.2
